,output
0001,"{""geoLocation"": {""longitude"": 77.631891, ""latitude"": 12.907566}, ""code"": ""spot0001"", ""description"": ""testing"", ""owner"": {""id"": ""owner0001"", ""firstName"": ""owner0001_first"", ""lastName"": ""owner0001_last"", ""userId"": ""owner0001@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""2nd Cross Rd"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Madina masjid"", ""doorNo"": ""0001""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0001"", ""ownerId"": ""owner0001""}]}"
0002,"{""geoLocation"": {""longitude"": 77.631234, ""latitude"": 12.907459}, ""code"": ""spot0002"", ""description"": ""testing"", ""owner"": {""id"": ""owner0002"", ""firstName"": ""owner0002_first"", ""lastName"": ""owner0002_last"", ""userId"": ""owner0002@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Madeena street"", ""zipCode"": "" Karnataka 560068"", ""landmark"": ""Madeena bakery"", ""doorNo"": ""0002""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0002"", ""ownerId"": ""owner0002""}]}"
0003,"{""geoLocation"": {""longitude"": 77.632448, ""latitude"": 12.906627}, ""code"": ""spot0003"", ""description"": ""testing"", ""owner"": {""id"": ""owner0003"", ""firstName"": ""owner0003_first"", ""lastName"": ""owner0003_last"", ""userId"": ""owner0003@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""No. 10"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Totalgass"", ""doorNo"": ""0003""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0003"", ""ownerId"": ""owner0003""}]}"
0004,"{""geoLocation"": {""longitude"": 77.632666, ""latitude"": 12.906524}, ""code"": ""spot0004"", ""description"": ""testing"", ""owner"": {""id"": ""owner0004"", ""firstName"": ""owner0004_first"", ""lastName"": ""owner0004_last"", ""userId"": ""owner0004@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Hp Petrol-mangampalya"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Hp Petrol-mangampalya"", ""doorNo"": ""0004""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0004"", ""ownerId"": ""owner0004""}]}"
0005,"{""geoLocation"": {""longitude"": 77.631112, ""latitude"": 12.907705}, ""code"": ""spot0005"", ""description"": ""testing"", ""owner"": {""id"": ""owner0005"", ""firstName"": ""owner0005_first"", ""lastName"": ""owner0005_last"", ""userId"": ""owner0005@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""BMS Residency"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""BMS Residency"", ""doorNo"": ""0005""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0005"", ""ownerId"": ""owner0005""}]}"
0006,"{""geoLocation"": {""longitude"": 77.638089, ""latitude"": 12.912849}, ""code"": ""spot0006"", ""description"": ""testing"", ""owner"": {""id"": ""owner0006"", ""firstName"": ""owner0006_first"", ""lastName"": ""owner0006_last"", ""userId"": ""owner0006@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""14th Main Rd"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""BDA Complex HSR"", ""doorNo"": ""0006""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0006"", ""ownerId"": ""owner0006""}]}"
0007,"{""geoLocation"": {""longitude"": 77.63256, ""latitude"": 12.910638}, ""code"": ""spot0007"", ""description"": ""testing"", ""owner"": {""id"": ""owner0007"", ""firstName"": ""owner0007_first"", ""lastName"": ""owner0007_last"", ""userId"": ""owner0007@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Plot No.1158"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""South inn"", ""doorNo"": ""0007""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0007"", ""ownerId"": ""owner0007""}]}"
0008,"{""geoLocation"": {""longitude"": 77.635401, ""latitude"": 12.912894}, ""code"": ""spot0008"", ""description"": ""testing"", ""owner"": {""id"": ""owner0008"", ""firstName"": ""owner0008_first"", ""lastName"": ""owner0008_last"", ""userId"": ""owner0008@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""150"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Raghavendra Tiffin"", ""doorNo"": ""0008""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0008"", ""ownerId"": ""owner0008""}]}"
0009,"{""geoLocation"": {""longitude"": 77.630816, ""latitude"": 12.907114}, ""code"": ""spot0009"", ""description"": ""testing"", ""owner"": {""id"": ""owner0009"", ""firstName"": ""owner0009_first"", ""lastName"": ""owner0009_last"", ""userId"": ""owner0009@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""28"", ""zipCode"": "" Karnataka 560068"", ""landmark"": ""Bommanahalli Post Office"", ""doorNo"": ""0009""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0009"", ""ownerId"": ""owner0009""}]}"
0010,"{""geoLocation"": {""longitude"": 77.632462, ""latitude"": 12.907773}, ""code"": ""spot0010"", ""description"": ""testing"", ""owner"": {""id"": ""owner0010"", ""firstName"": ""owner0010_first"", ""lastName"": ""owner0010_last"", ""userId"": ""owner0010@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""148"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Rapio office"", ""doorNo"": ""0010""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0010"", ""ownerId"": ""owner0010""}]}"
0011,"{""geoLocation"": {""longitude"": 77.637953, ""latitude"": 12.912249}, ""code"": ""spot0011"", ""description"": ""testing"", ""owner"": {""id"": ""owner0011"", ""firstName"": ""owner0011_first"", ""lastName"": ""owner0011_last"", ""userId"": ""owner0011@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""No 1"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""McDonald's hsr"", ""doorNo"": ""0011""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0011"", ""ownerId"": ""owner0011""}]}"
0012,"{""geoLocation"": {""longitude"": 77.638591, ""latitude"": 12.912532}, ""code"": ""spot0012"", ""description"": ""testing"", ""owner"": {""id"": ""owner0012"", ""firstName"": ""owner0012_first"", ""lastName"": ""owner0012_last"", ""userId"": ""owner0012@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""89"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Cream Stone hsr"", ""doorNo"": ""0012""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0012"", ""ownerId"": ""owner0012""}]}"
